minute_of_day,down_total_mbps,up_total_mbps,down_long_form_streaming,down_short_form_video,down_video_calls,down_cloud_gaming,down_game_downloads,down_web_browsing,down_security_cameras,up_long_form_streaming,up_short_form_video,up_video_calls,up_cloud_gaming,up_game_downloads,up_web_browsing,up_security_cameras
87,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
88,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
89,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
90,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
91,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
92,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
93,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
94,1.7194525412080874,1.4830774947906482,0.0,0.0,0.0,0.0,0.0,0.16711379928559394,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.008355689964279697,1.4747218048263686
95,1.7194525412080874,1.4830774947906482,0.0,0.0,0.0,0.0,0.0,0.16711379928559394,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.008355689964279697,1.4747218048263686
96,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
97,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
98,1.7498345536348217,1.484596595411985,0.0,0.0,0.0,0.0,0.0,0.19749581171232822,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.009874790585616411,1.4747218048263686
99,1.7498345536348217,1.484596595411985,0.0,0.0,0.0,0.0,0.0,0.19749581171232822,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.009874790585616411,1.4747218048263686
100,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
101,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
102,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
103,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
104,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
105,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
106,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
107,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
108,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
109,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
110,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
111,1.780817134940399,1.4861457244772638,0.0,0.0,0.0,0.0,0.0,0.22847839301790557,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.01142391965089528,1.4747218048263686
112,1.780817134940399,1.4861457244772638,0.0,0.0,0.0,0.0,0.0,0.22847839301790557,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.01142391965089528,1.4747218048263686
113,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
114,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
115,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
116,1.8230478186695898,1.4882572586637235,0.0,0.0,0.0,0.0,0.0,0.2707090767470964,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.01353545383735482,1.4747218048263686
117,1.848530505634392,1.4895313930119636,0.0,0.0,0.0,0.0,0.0,0.2961917637118985,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.014809588185594925,1.4747218048263686
118,5.149981403332438,1.510698231440468,0.0,3.597642661409944,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.035976426614099444,0.0,0.0,0.0,0.0,1.4747218048263686
119,5.306061446015088,1.5185022335746006,0.0,3.597642661409944,0.0,0.0,0.0,0.15608004268265063,1.5523387419224934,0.0,0.035976426614099444,0.0,0.0,0.0,0.007804002134132532,1.4747218048263686
120,5.663525802547337,1.536375451401213,0.0,3.597642661409944,0.0,0.0,0.0,0.5135443992148985,1.5523387419224934,0.0,0.035976426614099444,0.0,0.0,0.0,0.02567721996074493,1.4747218048263686
121,5.663525802547337,1.536375451401213,0.0,3.597642661409944,0.0,0.0,0.0,0.5135443992148985,1.5523387419224934,0.0,0.035976426614099444,0.0,0.0,0.0,0.02567721996074493,1.4747218048263686
122,3.528597334913418,1.500727592463584,0.0,1.820178550308274,0.0,0.0,0.0,0.15608004268265063,1.5523387419224934,0.0,0.01820178550308274,0.0,0.0,0.0,0.007804002134132532,1.4747218048263686
123,3.3725172922307673,1.4929235903294513,0.0,1.820178550308274,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01820178550308274,0.0,0.0,0.0,0.0,1.4747218048263686
124,3.3725172922307673,1.4929235903294513,0.0,1.820178550308274,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01820178550308274,0.0,0.0,0.0,0.0,1.4747218048263686
125,3.3725172922307673,1.4929235903294513,0.0,1.820178550308274,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01820178550308274,0.0,0.0,0.0,0.0,1.4747218048263686
126,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
127,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
128,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
129,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
130,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
131,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
132,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
133,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
134,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
135,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
136,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
137,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
138,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
139,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
140,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
141,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
142,3.4543666882218846,1.4937420842893625,0.0,1.9020279462993912,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01902027946299391,0.0,0.0,0.0,0.0,1.4747218048263686
143,3.4543666882218846,1.4937420842893625,0.0,1.9020279462993912,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01902027946299391,0.0,0.0,0.0,0.0,1.4747218048263686
144,3.4543666882218846,1.4937420842893625,0.0,1.9020279462993912,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01902027946299391,0.0,0.0,0.0,0.0,1.4747218048263686
145,3.4543666882218846,1.4937420842893625,0.0,1.9020279462993912,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01902027946299391,0.0,0.0,0.0,0.0,1.4747218048263686
146,3.4543666882218846,1.4937420842893625,0.0,1.9020279462993912,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01902027946299391,0.0,0.0,0.0,0.0,1.4747218048263686
147,3.4543666882218846,1.4937420842893625,0.0,1.9020279462993912,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01902027946299391,0.0,0.0,0.0,0.0,1.4747218048263686
148,3.4543666882218846,1.4937420842893625,0.0,1.9020279462993912,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.01902027946299391,0.0,0.0,0.0,0.0,1.4747218048263686
149,3.8276892707897447,1.5124082134177554,0.0,1.9020279462993912,0.0,0.0,0.0,0.3733225825678602,1.5523387419224934,0.0,0.01902027946299391,0.0,0.0,0.0,0.01866612912839301,1.4747218048263686
150,4.227122327555609,1.5323798662560488,0.0,1.9020279462993912,0.0,0.0,0.0,0.7727556393337247,1.5523387419224934,0.0,0.01902027946299391,0.0,0.0,0.0,0.03863778196668624,1.4747218048263686
